"basin_id","biogeographic_realm","Ecoregion"
"B0001","Aa","Palearctic"
"B0002","Abashiri","Palearctic"
"B0003","Abe.River","Palearctic"
"B0004","Abhe.Bad","Afrotropic"
"B0005","Abogain.Gol","Palearctic"
"B0006","Abu.gawa","Palearctic"
"B0007","Abukuma","Palearctic"
"B0008","Abula","Palearctic"
"B0009","Acandi.River","Neotropic"
"B0010","Acaponeta","Neotropic"
"B0011","Aceh","Indomalayan"
"B0012","Acheloos","Palearctic"
"B0013","Acisu","Palearctic"
"B0014","Aconcagua","Neotropic"
"B0015","Actopan","Neotropic"
"B0016","Adako.un","Palearctic"
"B0017","Adana","Afrotropic"
"B0018","Adelaide","Australasia"
"B0019","Adige","Palearctic"
"B0020","Adour","Palearctic"
"B0021","Agajambo","Australasia"
"B0022","Agano","Palearctic"
"B0023","Aghnashini","Indomalayan"
"B0024","Agly","Palearctic"
"B0025","Agneby","Afrotropic"
"B0026","Agri","Palearctic"
"B0027","Agrioun","Palearctic"
"B0028","Aguada.de.Macigo","Neotropic"
"B0029","Aguan","Neotropic"
"B0030","Aguanaval","Nearctic"
"B0031","Agusan","Indomalayan"
"B0032","Ahaggar","Afrotropic"
"B0033","Aire","Australasia"
"B0034","Akgol","Palearctic"
"B0035","Aki","Palearctic"
"B0036","Akitio","Australasia"
"B0037","Aksu","Palearctic"
"B0038","Aksu.North","Palearctic"
"B0039","Alabama","Nearctic"
"B0040","Alafia","Nearctic"
"B0041","Alagnak","Nearctic"
"B0042","Alappuzha","Indomalayan"
"B0043","Alara","Palearctic"
"B0044","Alas","Indomalayan"
"B0045","Alaska.un.1","Nearctic"
"B0046","Alaska.un.2","Nearctic"
"B0047","Alazeja","Palearctic"
"B0048","Albany","Nearctic"
"B0049","Albegna","Palearctic"
"B0050","Aldoma","Palearctic"
"B0051","Alemeda.creek","Nearctic"
"B0052","Alfios","Palearctic"
"B0053","Alfta","Palearctic"
"B0054","Aliakmon","Palearctic"
"B0055","Alice","Australasia"
"B0056","Allahein.River","Afrotropic"
"B0057","Alligator.creek","Australasia"
"B0058","Allika","Palearctic"
"B0059","Alsea","Nearctic"
"B0060","Alsek","Nearctic"
"B0061","Altaelva","Palearctic"
"B0062","Altamaha","Nearctic"
"B0063","Altja","Palearctic"
"B0064","Amahlongwa","Afrotropic"
"B0065","Amami.Islands","Indomalayan"
"B0066","Amami.Oshima.Island","Indomalayan"
"B0067","Amansuri","Afrotropic"
"B0068","Amazon","Neotropic"
"B0069","Amba","Indomalayan"
"B0070","Ambalam.Oya","Indomalayan"
"B0071","Ambomboa","Afrotropic"
"B0072","Ambon.Island","Australasia"
"B0073","Amboyninghy.Point","Australasia"
"B0074","Ameca","Neotropic"
"B0075","Amguema","Palearctic"
"B0076","Amu.Darya","Palearctic"
"B0077","Amur","Palearctic"
"B0078","An.Lao","Indomalayan"
"B0079","Anabar","Palearctic"
"B0080","Anadyr","Palearctic"
"B0081","Anasco","Neotropic"
"B0082","Ancharakandi","Indomalayan"
"B0083","Andakilsa","Palearctic"
"B0084","Andalien","Neotropic"
"B0085","Andaman.Islands","Indomalayan"
"B0086","Andella.Oya","Indomalayan"
"B0087","Anderson","Nearctic"
"B0088","Andranangoo","Australasia"
"B0089","Andreevka","Palearctic"
"B0090","Angermanalven","Palearctic"
"B0091","Anglesea","Australasia"
"B0092","Angurugu.creek","Australasia"
"B0093","Aniakchak","Nearctic"
"B0094","Ankavanana","Afrotropic"
"B0095","Ankobra","Afrotropic"
"B0096","Ankofia","Afrotropic"
"B0097","Ann.Chaung","Indomalayan"
"B0098","Annan.Aus","Australasia"
"B0099","Annan.UK","Palearctic"
"B0100","Annobon.Island","Afrotropic"
"B0101","Ansan","Palearctic"
"B0102","Anseongcheon","Palearctic"
"B0103","Ansons","Australasia"
"B0104","Antainambalana","Afrotropic"
"B0105","Antelope.Wash","Nearctic"
"B0106","Anzali","Palearctic"
"B0107","Aojiang","Indomalayan"
"B0108","Aorere","Australasia"
"B0109","Apalachicola","Nearctic"
"B0110","Aparima","Australasia"
"B0111","Apodi","Neotropic"
