shortfall,case,lower,mean,upper,group
LS,best,0.21646000 ,0.23766480 ,0.25750790 ,case1
WS,best,0.02380579 ,0.07153549 ,0.13190150 ,case1
DS,best,0.03996802 ,0.08460447 ,0.15561860 ,case1
LS,worst,0.20800470 ,0.21930840 ,0.22940260 ,case1
WS,worst,0.01162682 ,0.02012280 ,0.03550373 ,case1
DS,worst,0.04212372 ,0.06887470 ,0.09100171 ,case1
LS,best,0.24488080 ,0.26252410 ,0.27868470 ,case2
WS,best,0.02066385 ,0.03993890 ,0.06073033 ,case2
DS,best,0.04694052 ,0.06206857 ,0.08154517 ,case2
LS,worst,0.00054055 ,0.00186872 ,0.00511947 ,case2
WS,worst,0.00346029 ,0.00764534 ,0.01311344 ,case2
DS,worst,0.00000000 ,0.01651132 ,0.03075772 ,case2
LS,best,0.28000310 ,0.30752210 ,0.33520520 ,case3
WS,best,0.02102070 ,0.04580429 ,0.07955996 ,case3
DS,best,0.04607396 ,0.07182766 ,0.11073200 ,case3
LS,worst,0.00000000 ,0.00034034 ,0.00191218 ,case3
WS,worst,0.00000000 ,0.00009229 ,0.00042240 ,case3
DS,worst,0.00000000 ,0.00006956 ,0.00102878 ,case3
LS,best,0.3936877,0.4595353,0.5373344,case4
WS,best,0.03999012,0.1456525,0.3237031,case4
DS,best,0.08022213,0.1959398,0.3903387,case4
LS,worst,0.02929527 ,0.04013355 ,0.05388582 ,case4
WS,worst,0.00144763 ,0.00628340 ,0.01957309 ,case4
DS,worst,0.00078093 ,0.00878997 ,0.01979415 ,case4
